Location,Type,Category,Description,Price,Date,Rooms,Surface
La Soukra,Vente,App. 2 pièc,Appartement s2 à borj lo,220 000,19/12/2024,1,105.0
Ain Zaghouan,Location,App. 3 pièc,Appart neuf jamais habit,1 800,19/12/2024,2,100.0
Berge Du Lac,Location vacance,App. 1 pièc,A quelques minutes de l',1 500,19/12/2024,0,52.0
La Soukra,Location,App. 2 pièc,Apprt s1meublé à  la,1 350,19/12/2024,1,80.0
La Soukra,Vente,App. 2 pièc,Apprt s1 à la soukra,225 000,19/12/2024,1,585.0
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing très sp,900,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 4 pièc,Appartements meuble ou vide,150,19/12/2024,3,160.4433656957929
Ain Zaghouan,Location,App. 2 pièc,Un lumineux s plus un la,900,19/12/2024,1,60.0
El Aouina,Location vacance,App. 1 pièc,Luxueux studio pour des,150,19/12/2024,0,45.0
Ain Zaghouan,Location vacance,App. 2 pièc,Super luxueux app tout n,150,19/12/2024,1,60.0
El Aouina,Location,App. 2 pièc,S plus 1 jardins aouina,1 050,19/12/2024,1,70.0
El Aouina,Location,App. 1 pièc,Appartement cite wahat,850,19/12/2024,0,60.0
Ain Zaghouan,Location vacance,App. 5 pièc,Grand luxueux duplex pou,350,19/12/2024,4,300.0
Ain Zaghouan,Location,App. 3 pièc,S plus 2 ain zaghouan 58,1 100,19/12/2024,2,80.0
El Aouina,Location,App. 3 pièc,S plus 2 meuble laouina,1 500,19/12/2024,2,90.0
Cite Ennasr 2,Location,App. 4 pièc,Appartes meublé et vide,150,19/12/2024,3,160.4433656957929
Ain Zaghouan,Location,App. 2 pièc,S plus un bien orienté à,750,19/12/2024,1,60.0
Berge Du Lac,Location,Duplex,Triplex en s5 au lac,3 600,19/12/2024,5,360.0
El Aouina,Location,App. 3 pièc,S plus deux richement me,1 100,19/12/2024,2,90.0
El Menzah 9,Location,App. 3 pièc,S plus 2 a el manzah,900,19/12/2024,2,78.0
El Menzah 7,Location,App. 4 pièc,S3 1200d menzah 7,1 200,19/12/2024,3,130.0
Borj Louzir,Location,App. 3 pièc,Appartement s3 neuf jama,930,19/12/2024,2,103.0
El Menzah 5,Location,App. 3 pièc,Des apartements meuble ou vid,150,19/12/2024,2,121.43717728055077
El Aouina,Location,App. 4 pièc,Etage de villa s3 à l'ao,1 700,19/12/2024,3,200.0
Ain Zaghouan,Vente,App. 4 pièc,Appartement s3 neuf de 1,408 000,19/12/2024,3,150.0
Marsa Erriadh,Location vacance,App. 2 pièc,App de charme haut stand,350,19/12/2024,1,50.0
Cite Ennasr 1,Location,App. 2 pièc,Pour africains et autre apart,850,19/12/2024,1,73.062
Ain Zaghouan,Vente,App. 3 pièc,Appt s2 neuf à ain zagho,675 000,19/12/2024,2,177.0
La Soukra,Location,Maisons,S1 meublé charges compri,550,19/12/2024,1,70.0
La Soukra,Vente,App. 2 pièc,Des s1 neufs à la nouvel,225 000,19/12/2024,1,50.0
La Soukra,Location,App. 3 pièc,Luxueux s2 meublé par se,600,19/12/2024,2,120.0
La Soukra,Location,App. 2 pièc,Studio meublé a soukra c,600,19/12/2024,1,70.0
Bab Bhar,Vente,App. 5 pièc,Un appartement s4 de 154,280 000,19/12/2024,4,225.45569620253164
Bab Bhar,Vente,App. 3 pièc,S2 bon emplacement,240 000,19/12/2024,2,121.43717728055077
Cite Ennasr 2,Location,App. 3 pièc,S2 bien meublé,1 500,19/12/2024,2,121.43717728055077
El Menzah 8,Location,App. 4 pièc,S3 bon standing,1 300,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Location,App. 4 pièc,S3 près rené descartes,1 150,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Location,App. 2 pièc,Grand s1 semi meublé de,1 150,19/12/2024,1,73.062
Bou Mhel,Location,App. 1 pièc,Appartement s1 haut standing,820,19/12/2024,0,60.0
El Menzah 8,Location,App. 3 pièc,Réez de jardin  s2 avec,950,19/12/2024,2,121.43717728055077
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé avenue hedi no,1 200,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 4 pièc,S plus 3 a ennasr 2,1 200,19/12/2024,3,105.0
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 300,19/12/2024,2,130.0
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,19/12/2024,3,160.4433656957929
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 70d,1 700,19/12/2024,1,70.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 89dt,1 700,19/12/2024,1,70.0
El Menzah 9,Location,App. 2 pièc,S1 de haut standing meub,1 400,19/12/2024,1,73.062
El Menzah 6,Location vacance,App. 2 pièc,Studio meublé  60dt la n,1 200,19/12/2024,1,20.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S0 et s1 meublé pour cou,1 800,19/12/2024,1,80.0
La Mannouba,Location,App. 1 pièc,Appt s plus 1 résidence aicha,700,19/12/2024,0,65.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 900,19/12/2024,1,70.0
El Aouina,Location vacance,App. 2 pièc,S1 meublé hay el waht po,2 200,19/12/2024,1,70.0
Cite Ennasr 2,Location vacance,App. 2 pièc,Jolie s1 meublé hst par,2 100,19/12/2024,1,70.0
Cite Ennasr 2,Location,App. 2 pièc,S1 neuf haut standing,950,19/12/2024,1,73.062
Bou Mhel,Location,Maisons,Rdc s3 a boumhal bel air,950,19/12/2024,3,110.0
Cite Ennasr 2,Vente,App. 3 pièc,S2 à nasr 2,440 000,19/12/2024,2,120.0
El Menzah 9,Location,App. 2 pièc,S1 haut standing neuf,950,19/12/2024,1,73.062
Riadh Landlous,Location vacance,App. 3 pièc,S2 meublé  par nuitée 12,2 500,19/12/2024,2,117.0
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 700,19/12/2024,1,65.0
Ezzahra,Location vacance,App. 3 pièc,Apprt s2 hst meublé par,2 500,19/12/2024,2,117.0
Chotrana 1,Location,Maisons,Villa en s4 avec pis,3 300,19/12/2024,4,350.0
El Menzah 9,Location,App. 3 pièc,Magnifique appartement s,1 350,19/12/2024,2,121.43717728055077
Gammart,Location,Maisons,Triplex s4 avec piscine,7 500,19/12/2024,4,225.45569620253164
Marsa Erriadh,Location,App. 4 pièc,Appart s3 samar à la,1 250,19/12/2024,3,130.0
Gammart,Location,Duplex,Duplex meuble s3 a gamma,4 500,19/12/2024,3,160.4433656957929
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1 100,19/12/2024,2,160.0
Chatt Meriem,Location vacance,Maisons,Rez de jardin s1 de char,300,19/12/2024,1,75.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,125.0
Riadh Landlous,Location vacance,App. 1 pièc,A 10 min de de l'aéropor,1 500,19/12/2024,0,51.0
Chatt Meriem,Location vacance,Maisons,Etage s3 de pittoresque,140,19/12/2024,3,150.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98.0
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1 500 000,19/12/2024,2,130.0
Riadh Landlous,Location,App. 1 pièc,A 10 min de de l'aéropor,1 000,19/12/2024,0,51.0
Ezzahra,Location,App. 2 pièc,Studio meublé à ezza,500,19/12/2024,1,40.0
Ezzahra,Location,App. 3 pièc,Maison s2 meublé à e,131,19/12/2024,2,150.0
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55.0
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1 900,19/12/2024,1,60.0
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225 000,19/12/2024,1,58.0
Marsa Ennassim,Location,App. 2 pièc,Coquette appartement s1 meubl,1 400,19/12/2024,1,60.0
El Aouina,Location,App. 4 pièc,S plus 3 jardins el aoui,1 350,19/12/2024,3,130.0
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,120.0
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180 000,19/12/2024,1,100.0
Ain Zaghouan,Vente,App. 3 pièc,S plus deux résidence ja,253 000,19/12/2024,2,69.0
El Aouina,Location,App. 2 pièc,S plus un luxueux richem,1 600,19/12/2024,1,60.0
Marsa Ennassim,Location,App. 4 pièc,Etage de villa s3 indépendant,2 000,19/12/2024,3,180.0
Ain Zaghouan,Location,App. 2 pièc,Apartes meublé et vide,150,19/12/2024,1,73.062
Ain Zaghouan,Vente,App. 2 pièc,S2  ain zaghouane nouvel,415 000,19/12/2024,1,140.0
El Aouina,Location,App. 2 pièc,Résidence zayatine appartemen,850,19/12/2024,1,60.0
Cite El Khalil,Location,App. 1 pièc,Appartement s3 meubl  la,2 500,19/12/2024,0,130.0
Le Bardo,Location,App. 1 pièc,Meublé pour une seule personn,550,19/12/2024,0,55.0
Korba Hached,Location,App. 3 pièc,Local commercial,7 800,19/12/2024,2,135.0
Le Bardo,Location,App. 2 pièc,Pour  filles ou petite famill,550,19/12/2024,1,88.0
Riadh Landlous,Location,App. 2 pièc,Spacieux s0 et s1 pour p,650,19/12/2024,1,70.0
El Manar 1,Location,App. 3 pièc,Mignon appartement meubl,1 500,19/12/2024,2,121.43717728055077
La Mannouba,Location,App. 2 pièc,S plus 1 hst a la ma,750,19/12/2024,1,65.0
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 cité nas,950,19/12/2024,1,70.0
Cite Du Stade,Location,App. 4 pièc,Deux merveilleux apparte,1 400,19/12/2024,3,160.4433656957929
El Menzah 8,Location,App. 4 pièc,S plus 3 a el manzah,1 300,19/12/2024,3,300.0
El Menzah 8,Location,App. 4 pièc,Un appart s 3 avec deux,1 300,19/12/2024,3,310.0
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 meublé  à cit,1 150,19/12/2024,1,70.0
Cite Ennasr 2,Location,App. 2 pièc,Studio à ennasr 2,750,19/12/2024,1,60.0
El Menzah 9,Vente,App. 3 pièc,S2 400 md menzah 9,400 000,19/12/2024,2,129.0
