Location,Type,Category,Description,Price,Date,Rooms,Surface,PC1,PC2,PC3
La Soukra,Vente,App. 2 pièc,Appartement s2 à borj lo,220000,19/12/2024,1,105,-0.46432677094245045,0.40864882240602046,-0.49449465873285475
Ain Zaghouan,Location,App. 3 pièc,Appart neuf jamais habit,1800,19/12/2024,2,100,-0.11195529843980005,-0.13560122392613141,0.1973080778018504
Berge Du Lac,Location vacance,App. 1 pièc,A quelques minutes de l',1500,19/12/2024,0,52,-1.308679415674327,0.15903820383881231,-0.8864810581979846
La Soukra,Location,App. 2 pièc,Apprt s1meublé à  la,1350,19/12/2024,1,80,-0.7023917798504771,0.0058782213584986105,-0.353062333854421
La Soukra,Vente,App. 2 pièc,Apprt s1 à la soukra,225000,19/12/2024,1,585,0.5217940127507351,-0.21051392301306313,-1.5280420617990278
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing très sp,900,19/12/2024,1,73,-0.717095082179814,0.014156551181212314,-0.3378385096461404
Cite Ennasr 2,Location,App. 4 pièc,Appartements meuble ou vide,150,19/12/2024,3,160,0.5585063786224133,-0.3336906103674788,0.6625590395318187
Ain Zaghouan,Location,App. 2 pièc,Un lumineux s plus un la,900,19/12/2024,1,60,-0.7436867503190308,0.031195283900688837,-0.3099009199533289
El Aouina,Location vacance,App. 1 pièc,Luxueux studio pour des,150,19/12/2024,0,45,-1.3241521415893354,0.16552378883982496,-0.8708962206269397
Ain Zaghouan,Location vacance,App. 2 pièc,Super luxueux app tout n,150,19/12/2024,1,60,-0.7443279366404236,0.029701329882604616,-0.30960007548435864
El Aouina,Location,App. 2 pièc,S plus 1 jardins aouina,1050,19/12/2024,1,70,-0.7231033837168932,0.0183873572277853,-0.3314515424569779
El Aouina,Location,App. 1 pièc,Appartement cite wahat,850,19/12/2024,0,60,-1.2928710070159135,0.1472580697085897,-0.9034126892127611
Ain Zaghouan,Location vacance,App. 5 pièc,Grand luxueux duplex pou,350,19/12/2024,4,300,1.394190683313601,-0.6329486500430482,0.9551442893594874
