Location,Type,Category,Description,Price,Date,Rooms,Surface
Raoued,Terrain,Terrain nu,Terrain  yanis a rao,325 000,19/12/2024,N/A,500 m²
Berge Du Lac,Bureaux & Commer,Surfaces,Local de 45m lac 1,1 500,19/12/2024,N/A,45 m²
La Soukra,Vente,App. 2 pièc,Appartement s2 à borj lo,220 000,19/12/2024,1,105 m²
Berge Du Lac,Location,Surfaces,Local 45m lac 1,1 500,19/12/2024,N/A,45 m²
Ain Zaghouan,Location,App. 3 pièc,Appart neuf jamais habit,1 800,19/12/2024,2,100 m²
Berge Du Lac,Location vacance,App. 1 pièc,A quelques minutes de l',1 500,19/12/2024,0,52 m²
Cite Afh,Vente,Maisons,A  rdc dune villa  a cit,330 000,19/12/2024,N/A,202 m²
La Soukra,Location,App. 2 pièc,Apprt s1meublé à  la,1 350,19/12/2024,1,80 m²
La Soukra,Vente,App. 2 pièc,Apprt s1 à la soukra,225 000,19/12/2024,1,585 m²
El Manar 2,Vente,Autre,Fonds de commerce à el m,400 000,19/12/2024,N/A,150 m²
El Menzah 8,Location,Maisons,Rez de jardin s plus,1 300,19/12/2024,N/A,160 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing très sp,900,19/12/2024,1,N/A
Bou Mhel,Vente,Maisons,Bonne opportunité à boumhel,1 200 000,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,Appartements meuble ou vide,150,19/12/2024,3,N/A
Hammamet,Vente,Maisons,Une villa neuve à el mon,820 000,19/12/2024,N/A,1 200 m²
Sidi Messaoud,Terrain,Terrain agr,Pour médecins ou agriculteurs,850 000,19/12/2024,N/A,44 000 m²
Ain Zaghouan,Location,App. 2 pièc,Un lumineux s plus un la,900,19/12/2024,1,60 m²
El Aouina,Location vacance,App. 1 pièc,Luxueux studio pour des,150,19/12/2024,0,45 m²
Ain Zaghouan,Location vacance,App. 2 pièc,Super luxueux app tout n,150,19/12/2024,1,60 m²
El Aouina,Location,App. 2 pièc,S plus 1 jardins aouina,1 050,19/12/2024,1,70 m²
El Aouina,Location,App. 1 pièc,Appartement cite wahat,850,19/12/2024,0,60 m²
Ain Zaghouan,Location vacance,App. 5 pièc,Grand luxueux duplex pou,350,19/12/2024,4,300 m²
Ain Zaghouan,Location,App. 3 pièc,S plus 2 ain zaghouan 58,1 100,19/12/2024,2,80 m²
El Aouina,Location,App. 3 pièc,S plus 2 meuble laouina,1 500,19/12/2024,2,90 m²
Cite Ennasr 2,Location,App. 4 pièc,Appartes meublé et vide,150,19/12/2024,3,N/A
Ain Zaghouan,Location vacance,App. 2 pièc,Super luxueux app tout n,150,19/12/2024,1,60 m²
El Aouina,Location,App. 2 pièc,S plus 1 jardins aouina,1 050,19/12/2024,1,70 m²
El Aouina,Location,App. 1 pièc,Appartement cite wahat,850,19/12/2024,0,60 m²
Ain Zaghouan,Location vacance,App. 5 pièc,Grand luxueux duplex pou,350,19/12/2024,4,300 m²
Ain Zaghouan,Location,App. 3 pièc,S plus 2 ain zaghouan 58,1 100,19/12/2024,2,80 m²
El Aouina,Location,App. 3 pièc,S plus 2 meuble laouina,1 500,19/12/2024,2,90 m²
Cite Ennasr 2,Location,App. 4 pièc,Appartes meublé et vide,150,19/12/2024,3,N/A
Berge Du Lac,Location,Maisons,Villa avec piscine a,11 000,19/12/2024,N/A,700 m²
Ain Zaghouan,Location,App. 2 pièc,S plus un bien orienté à,750,19/12/2024,1,60 m²
Berge Du Lac,Location,Duplex,Triplex en s5 au lac,3 600,19/12/2024,5,360 m²
Ain Zaghouan,Bureaux & Commer,Bureau,Immeuble à la marsa,30 000,19/12/2024,N/A,1 350 m²
El Aouina,Location,App. 3 pièc,S plus deux richement me,1 100,19/12/2024,2,90 m²
Jardins de Cart,Location,Maisons,Villa de maitre aux,8 000,19/12/2024,N/A,700 m²
El Manar 1,Location,Maisons,Villa 3400 d manar 1,3 400,19/12/2024,N/A,500 m²
El Menzah 9,Location,App. 3 pièc,S plus 2 a el manzah,900,19/12/2024,2,78 m²
Mutuelle Ville,Location,Duplex,Duplex a mutuelle ville,4 200,19/12/2024,N/A,500 m²
El Menzah 7,Location,App. 4 pièc,S3 1200d menzah 7,1 200,19/12/2024,3,130 m²
Borj Louzir,Location,App. 3 pièc,Appartement s3 neuf jama,930,19/12/2024,2,103 m²
La Soukra,Bureaux & Commer,Surfaces,Open space de 190m2 à la,3 600,19/12/2024,N/A,190 m²
El Menzah 5,Location,App. 3 pièc,Des apartements meuble ou vid,150,19/12/2024,2,N/A
El Aouina,Location,App. 4 pièc,Etage de villa s3 à l'ao,1 700,19/12/2024,3,200 m²
Ain Zaghouan,Vente,App. 4 pièc,Appartement s3 neuf de 1,408 000,19/12/2024,3,150 m²
Soliman,Terrain,Terrain nu,Terrain de 409 m2 à 560,229 000,19/12/2024,N/A,409 m²
Soliman,Vente,Duplex,Duplex et 3 appart couvr,650 000,19/12/2024,N/A,620 m²
Borj Cedria,Terrain,Terrain nu,Terrain de 409 m2 à,229 000,19/12/2024,N/A,409 m²
Marsa Erriadh,Location vacance,App. 2 pièc,App de charme haut stand,350,19/12/2024,1,50 m²
Cite Ennasr 1,Location,App. 2 pièc,Pour africains et autre apart,850,19/12/2024,1,N/A
Ain Zaghouan,Vente,App. 3 pièc,Appt s2 neuf à ain zagho,675 000,19/12/2024,2,177 m²
La Soukra,Location,Surfaces,Un dépôt à la soukra,8 000,19/12/2024,N/A,925 m²
La Soukra,Location,Maisons,S1 meublé charges compri,550,19/12/2024,1,70 m²
La Soukra,Vente,App. 2 pièc,Des s1 neufs à la nouvel,225 000,19/12/2024,1,50 m²
La Soukra,Location,App. 3 pièc,Luxueux s2 meublé par se,600,19/12/2024,2,120 m²
La Soukra,Location,App. 2 pièc,Studio meublé a soukra c,600,19/12/2024,1,70 m²
Bab Bhar,Vente,App. 5 pièc,Un appartement s4 de 154,280 000,19/12/2024,4,N/A
El Menzah 9,Bureaux & Commer,Fond de Com,Centre de beauté et spa,95 000,19/12/2024,N/A,N/A
Hammamet,Terrain,Terrain nu,Terrain sur la route gou,500 000,19/12/2024,N/A,4 180 m²
Bab Bhar,Vente,App. 3 pièc,S2 bon emplacement,240 000,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 3 pièc,S2 bien meublé,1 500,19/12/2024,2,N/A
El Menzah 8,Location,App. 4 pièc,S3 bon standing,1 300,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 4 pièc,S3 près rené descartes,1 150,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 2 pièc,Grand s1 semi meublé de,1 150,19/12/2024,1,N/A
Bou Mhel,Location,App. 1 pièc,Appartement s1 haut standing,820,19/12/2024,0,60 m²
El Menzah 8,Location,App. 3 pièc,Réez de jardin  s2 avec,950,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé avenue hedi no,1 200,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 4 pièc,S plus 3 a ennasr 2,1 200,19/12/2024,3,105 m²
Cite Ennasr 2,Location,Maisons,Villa de maitre vide ou,7 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Villa haut standing jama,9 000,19/12/2024,N/A,N/A
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 300,19/12/2024,2,130 m²
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Bureau très haut standin,2 500,19/12/2024,N/A,N/A
El Manar 1,Bureaux & Commer,Bureau,Cabinet médical de 55 m2,1 400,19/12/2024,N/A,55 m²
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 70d,1 700,19/12/2024,1,70 m²
Cite Bhar Lazre,Bureaux & Commer,Surfaces,Dépot à bhar lazreg,6 000,19/12/2024,N/A,742 m²
Cite Afh,Vente,Maisons,A  rdc dune villa  a cit,330 000,19/12/2024,N/A,202 m²
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 89dt,1 700,19/12/2024,1,70 m²
Berge Du Lac,Bureaux & Commer,Bureau,Espace bureautique au la,2 500,19/12/2024,N/A,86 m²
El Menzah 9,Location,App. 2 pièc,S1 de haut standing meub,1 400,19/12/2024,1,N/A
El Menzah 6,Location vacance,App. 2 pièc,Studio meublé  60dt la n,1 200,19/12/2024,1,20 m²
Marsa Safsaf,Location,Duplex,Duplex avec jardin à la,3 800,19/12/2024,N/A,N/A
Cite Ennasr 1,Location vacance,App. 2 pièc,S0 et s1 meublé pour cou,1 800,19/12/2024,1,80 m²
La Mannouba,Location,App. 1 pièc,Appt s plus 1 résidence aicha,700,19/12/2024,0,65 m²
Sidi Bousaid,Location,Duplex,Duplex avec vue sur mer,4 000,19/12/2024,N/A,N/A
Marsa Ennassim,Location,Duplex,Duplex avec jardin à la,4 000,19/12/2024,N/A,N/A
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 900,19/12/2024,1,70 m²
Riadh Landlous,Terrain,Terrain nu,Terrain r6 riadh landalo,4 900 000,19/12/2024,N/A,6 000 m²
El Aouina,Location vacance,App. 2 pièc,S1 meublé hay el waht po,2 200,19/12/2024,1,70 m²
Gammart,Location,Maisons,Villa avec piscine à,10 000,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location vacance,App. 2 pièc,Jolie s1 meublé hst par,2 100,19/12/2024,1,70 m²
Saint Gobin,Bureaux & Commer,Fond de Com,Local à megrine,95 000,19/12/2024,N/A,600 m²
Kheireddine Pac,Bureaux & Commer,Surfaces,Local à montplaisir,950 000,19/12/2024,N/A,350 m²
Cite Ennouzha,Location,Maisons,Etage de villa s plu,1 200,19/12/2024,N/A,150 m²
Zone urbaine no,Bureaux & Commer,Bureau,Bureaux centre urbain,1 620,19/12/2024,N/A,120 m²
El Haouaria,Terrain,Terrain nu,Terrains à haouaria,400 000,19/12/2024,N/A,400 m²
Charguia 1,Bureaux & Commer,Atelier,Espace à charguia 1,2 500 000,19/12/2024,N/A,1 274 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 neuf haut standing,950,19/12/2024,1,N/A
Marsa Erriadh,Location vacance,App. 2 pièc,App de charme haut stand,350,19/12/2024,1,50 m²
Cite Ennasr 1,Location,App. 2 pièc,Pour africains et autre apart,850,19/12/2024,1,N/A
Ain Zaghouan,Vente,App. 3 pièc,Appt s2 neuf à ain zagho,675 000,19/12/2024,2,177 m²
La Soukra,Location,Surfaces,Un dépôt à la soukra,8 000,19/12/2024,N/A,925 m²
La Soukra,Location,Maisons,S1 meublé charges compri,550,19/12/2024,1,70 m²
La Soukra,Vente,App. 2 pièc,Des s1 neufs à la nouvel,225 000,19/12/2024,1,50 m²
La Soukra,Location,App. 3 pièc,Luxueux s2 meublé par se,600,19/12/2024,2,120 m²
La Soukra,Location,App. 2 pièc,Studio meublé a soukra c,600,19/12/2024,1,70 m²
Bab Bhar,Vente,App. 5 pièc,Un appartement s4 de 154,280 000,19/12/2024,4,N/A
El Menzah 9,Bureaux & Commer,Fond de Com,Centre de beauté et spa,95 000,19/12/2024,N/A,N/A
Hammamet,Terrain,Terrain nu,Terrain sur la route gou,500 000,19/12/2024,N/A,4 180 m²
Bab Bhar,Vente,App. 3 pièc,S2 bon emplacement,240 000,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 3 pièc,S2 bien meublé,1 500,19/12/2024,2,N/A
El Menzah 8,Location,App. 4 pièc,S3 bon standing,1 300,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 4 pièc,S3 près rené descartes,1 150,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 2 pièc,Grand s1 semi meublé de,1 150,19/12/2024,1,N/A
Bou Mhel,Location,App. 1 pièc,Appartement s1 haut standing,820,19/12/2024,0,60 m²
El Menzah 8,Location,App. 3 pièc,Réez de jardin  s2 avec,950,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé avenue hedi no,1 200,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 4 pièc,S plus 3 a ennasr 2,1 200,19/12/2024,3,105 m²
Cite Ennasr 2,Location,Maisons,Villa de maitre vide ou,7 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Villa haut standing jama,9 000,19/12/2024,N/A,N/A
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 300,19/12/2024,2,130 m²
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Bureau très haut standin,2 500,19/12/2024,N/A,N/A
Bab Bhar,Vente,App. 3 pièc,S2 bon emplacement,240 000,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 3 pièc,S2 bien meublé,1 500,19/12/2024,2,N/A
El Menzah 8,Location,App. 4 pièc,S3 bon standing,1 300,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 4 pièc,S3 près rené descartes,1 150,19/12/2024,3,N/A
Cite Ennasr 2,Location,App. 2 pièc,Grand s1 semi meublé de,1 150,19/12/2024,1,N/A
Bou Mhel,Location,App. 1 pièc,Appartement s1 haut standing,820,19/12/2024,0,60 m²
El Menzah 8,Location,App. 3 pièc,Réez de jardin  s2 avec,950,19/12/2024,2,N/A
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé avenue hedi no,1 200,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 4 pièc,S plus 3 a ennasr 2,1 200,19/12/2024,3,105 m²
Cite Ennasr 2,Location,Maisons,Villa de maitre vide ou,7 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Villa haut standing jama,9 000,19/12/2024,N/A,N/A
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1 300,19/12/2024,2,130 m²
Ariana,Location,Maisons,Villa plein pied s3 avec,2 000,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Bureau très haut standin,2 500,19/12/2024,N/A,N/A
Bou Mhel,Location,Maisons,Rdc s3 a boumhal bel air,950,19/12/2024,3,110 m²
Cite Ennasr 2,Vente,App. 3 pièc,S2 à nasr 2,440 000,19/12/2024,2,120 m²
Zone urbaine no,Bureaux & Commer,Bureau,Grand bureau h4,1 800,19/12/2024,N/A,N/A
El Menzah 9,Location,App. 2 pièc,S1 haut standing neuf,950,19/12/2024,1,N/A
Rades,Terrain,Terrain nu,Terrain de villa vig,142 000,19/12/2024,N/A,142 m²
Hammamet,Vente,Maisons,Villa au rez de chaussée,750 000,19/12/2024,N/A,400 m²
Riadh Landlous,Location vacance,App. 3 pièc,S2 meublé  par nuitée 12,2 500,19/12/2024,2,117 m²
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1 700,19/12/2024,1,65 m²
Ezzahra,Location vacance,App. 3 pièc,Apprt s2 hst meublé par,2 500,19/12/2024,2,117 m²
Chotrana 1,Location,Maisons,Villa en s4 avec pis,3 300,19/12/2024,4,350 m²
Berge Du Lac,Bureaux & Commer,Bureau,Espace bureautique a,7 000,19/12/2024,N/A,350 m²
El Menzah 9,Location,App. 3 pièc,Magnifique appartement s,1 350,19/12/2024,2,N/A
Gammart,Location,Maisons,Triplex s4 avec piscine,7 500,19/12/2024,4,N/A
